Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Oct 2015-Sep 2016,Sales & consumer service occs.,White,7800,145600,5.357142857
Oct 2015-Sep 2016,"Process, plant & mach. Opers",White,2300,145600,1.57967033
Oct 2015-Sep 2016,Elementary occups.,White,10700,145600,7.348901099
Jan 2016-Dec 2016,"Managers, directors & seniors",White,20400,143900,14.17651147
Jan 2016-Dec 2016,Prof. occups.,White,46000,143900,31.9666435
Jan 2016-Dec 2016,Associate prof. & tech. occups.,White,40000,143900,27.79708131
Jan 2016-Dec 2016,Admin. & secretarial occups.,White,7700,143900,5.350938151
Jan 2016-Dec 2016,Skilled trades occups.,White,5200,143900,3.61362057
Jan 2016-Dec 2016,"Caring, leisure and other occs.",White,6100,143900,4.239054899
Jan 2016-Dec 2016,Sales & consumer service occs.,White,6500,143900,4.517025712
Jan 2016-Dec 2016,"Process, plant & mach. Opers",White,3400,143900,2.362751911
Jan 2016-Dec 2016,Elementary occups.,White,8600,143900,5.976372481
Apr 2016-Mar 2017,"Managers, directors & seniors",White,18900,146100,12.93634497
Apr 2016-Mar 2017,Prof. occups.,White,46500,146100,31.8275154
Apr 2016-Mar 2017,Associate prof. & tech. occups.,White,44300,146100,30.32169747
Apr 2016-Mar 2017,Admin. & secretarial occups.,White,11800,146100,8.076659822
Apr 2016-Mar 2017,Skilled trades occups.,White,5000,146100,3.422313484
Apr 2016-Mar 2017,"Caring, leisure and other occs.",White,5100,146100,3.490759754
Apr 2016-Mar 2017,Sales & consumer service occs.,White,5900,146100,4.038329911
Apr 2016-Mar 2017,"Process, plant & mach. Opers",White,2200,146100,1.505817933
Apr 2016-Mar 2017,Elementary occups.,White,6300,146100,4.31211499
Jul 2016-Jun 2017,"Managers, directors & seniors",White,20500,147600,13.88888889
Jul 2016-Jun 2017,Prof. occups.,White,51600,147600,34.95934959
Jul 2016-Jun 2017,Associate prof. & tech. occups.,White,42600,147600,28.86178862
Jul 2016-Jun 2017,Admin. & secretarial occups.,White,14700,147600,9.959349593
Jul 2016-Jun 2017,Skilled trades occups.,White,6300,147600,4.268292683
Jul 2016-Jun 2017,"Caring, leisure and other occs.",White,5800,147600,3.929539295
Jul 2016-Jun 2017,Sales & consumer service occs.,White,!,147600,#VALUE!
Jul 2016-Jun 2017,"Process, plant & mach. Opers",White,!,147600,#VALUE!
Jul 2016-Jun 2017,Elementary occups.,White,2900,147600,1.964769648
Oct 2016-Sep 2017,"Managers, directors & seniors",White,20700,139700,14.817466
Oct 2016-Sep 2017,Prof. occups.,White,45200,139700,32.35504653
Oct 2016-Sep 2017,Associate prof. & tech. occups.,White,38800,139700,27.773801
Oct 2016-Sep 2017,Admin. & secretarial occups.,White,14000,139700,10.02147459
Oct 2016-Sep 2017,Skilled trades occups.,White,7200,139700,5.153901217
Oct 2016-Sep 2017,"Caring, leisure and other occs.",White,4600,139700,3.292770222
Oct 2016-Sep 2017,Sales & consumer service occs.,White,2500,139700,1.789549034
